AGO,13,13,17,33,16,18,16
ARG,17,18,18,18,18,17,18
ABW,11,11,11,11,11,11,11
AUS,8,8,7,8,9,9,9
AUT,13,13,13,13,13,13,13
BDG,7,7,7,7,7,7,7
BLR,9,9,9,9,10,10,10
BEL,12,12,12,12,12,12,12
BRA,13,13,13,12,13,13,13
BLG,13,14,14,14,14,13,14
BDI,14,14,15,14,14,13,14
CAN,10,11,10,9,9,11,11
CHL,16,17,17,17,16,17,16
COL,18,17,17,15,18,18,17
HRV,14,14,14,14,14,14,14
CUW,11,11,11,11,11,11,11
CZE,13,13,13,13,13,13,13
DNK,12,12,12,12,12,12,12
DJI,12,12,12,12,12,12,12
DOM,12,12,12,12,12,12,12
EGY,18,19,19,19,19,19,18
EST,12,12,12,12,12,12,12
TAR,6,6,6,6,6,6,6
FIN,15,15,15,15,15,15,15
FRA,11,11,11,11,11,11,11
GEO,17,17,16,17,17,17,17
DEU,9,10,9,9,9,9,9
GRC,11,11,11,11,11,11,11
HND,18,17,18,18,18,18,17
HKG,18,17,17,17,17,17,18
HUN,14,13,19,35,15,14,15
ISL,16,16,16,16,16,16,16
IND,6,6,6,6,6,6,6
IRL,10,10,10,10,10,11,11
ISR,78,39,39,39,38,40,39
ITA,12,12,12,12,12,12,12
JAM,14,14,13,14,14,14,14
JPN,17,17,20,22,18,17,16
KEN,10,10,9,10,9,11,10
KOR,17,17,18,17,18,16,17
LVA,13,13,13,13,13,13,13
LTU,14,15,15,15,15,15,14
LUX,10,10,10,11,11,11,11
MWI,14,15,12,13,12,13,16
MEX,11,11,12,10,10,13,11
MOR,16,16,15,16,15,16,15
MOZ,14,13,11,13,12,11,14
NLD,10,10,10,10,11,10,10
NZL,13,11,10,10,12,15,14
NIC,9,9,9,9,9,8,8
NGA,7,7,7,7,7,7,7
NOR,12,12,12,12,12,12,12
PRY,12,12,12,12,12,12,12
PER,14,14,14,14,14,14,14
POL,13,13,13,13,13,13,13
PRT,13,13,13,13,13,13,13
ROU,13,15,15,15,15,15,15
RUS,14,14,14,14,14,14,14
SAU,12,12,11,11,12,11,12
SRB,11,13,13,12,13,11,14
SGP,13,14,11,14,15,11,15
SVK,15,15,16,15,15,15,15
SVN,12,13,13,13,13,13,13
ZAF,15,14,13,14,13,14,14
ESP,9,9,9,9,9,9,9
SWE,16,16,16,16,16,16,16
CHE,9,9,9,9,9,9,9
TUR,13,14,14,14,14,14,14
UKR,10,12,11,11,11,11,11
ARE,14,13,14,13,12,12,12
GBR,15,14,14,14,14,16,17
USA,11,12,11,10,11,13,12
VNM,11,12,11,11,11,11,12
